cup_game_date,cup_stage,cup_round,cup_section,cup_leg_no,decider,cup_outcome,agg_outcome,agg_score,agg_gf,agg_ga,gg_outcome,away_goal_outcome,pens_outcome,pens_score,pens_gf,pens_ga,game_length,outcome_desc,is_qualifying_round,is_group_stage,is_multi_leg,is_replay,is_extra_time,is_golden_goal,is_pen_shootout,is_play_off
1921-11-19,4th Qualifying Round,Q4,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1921-11-24,4th Qualifying Round Replay,Q4,,,,,,,,,,,,,,,90,,1,0,0,1,0,0,0,0
1922-11-18,4th Qualifying Round,Q4,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1923-11-17,4th Qualifying Round,Q4,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1923-12-01,5th Qualifying Round,5,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1923-12-06,5th Qualifying Round Replay,5,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1923-12-15,6th Qualifying Round,Q6,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1924-11-15,4th Qualifying Round,Q4,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1924-11-19,4th Qualifying Round Replay,Q4,,,,,,,,,,,,,,,90,,1,0,0,1,0,0,0,0
1924-11-29,5th Qualifying Round,Q5,,,,,,,,,,,,,,,90,,1,0,0,0,0,0,0,0
1924-12-03,5th Qualifying Round Replay,Q5,,,,,,,,,,,,,,,90,,1,0,0,1,0,0,0,0
1925-11-28,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1925-12-02,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1926-11-27,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1926-12-02,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1927-11-26,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1927-12-10,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1928-01-14,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1928-11-24,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1928-12-08,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1929-11-30,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1929-12-05,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1930-11-29,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1930-12-03,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1931-11-28,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1931-12-12,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1932-01-09,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1932-01-13,3rd Round Replay,3,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1932-11-26,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1932-12-10,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1932-12-14,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1933-01-14,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1933-01-28,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1933-02-01,4th Round Replay,4,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1933-11-25,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1933-12-09,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1934-01-13,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1934-01-27,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1934-11-24,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1934-12-08,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1935-11-30,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1935-12-14,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1936-01-11,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1936-01-15,3rd Round Replay,3,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1936-01-25,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1936-11-28,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1937-11-27,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1937-12-11,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1938-01-08,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1939-01-10,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1945-11-17,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1945-11-24,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1945-12-08,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1945-12-15,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1946-11-30,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1947-11-29,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1947-12-13,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1948-11-27,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1949-11-26,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1949-12-10,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1950-11-25,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1950-12-09,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1951-11-24,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1951-12-15,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1951-12-19,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1952-01-03,2nd Round 2nd Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1952-01-07,2nd Round 3rd Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1952-01-12,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1952-02-02,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1952-11-22,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1952-12-06,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1953-01-10,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1953-01-12,3rd Round Replay,3,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1953-11-21,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1953-12-12,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1953-12-16,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1954-01-09,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1954-01-14,3rd Round Replay,3,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1954-11-20,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1954-11-23,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1955-11-19,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1955-12-10,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1956-11-17,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1957-11-16,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1957-12-07,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1958-01-04,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1958-11-15,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1958-12-06,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1959-11-14,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1960-10-24,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1960-11-05,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1960-11-16,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1960-11-30,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1960-12-05,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1960-12-21,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1961-09-13,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1961-11-04,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1962-09-03,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1962-11-03,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1962-11-24,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1963-01-05,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1963-01-30,3rd Round Replay,3,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1963-09-04,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1963-09-25,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1963-10-16,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1963-11-16,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1964-09-02,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1964-09-23,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1964-11-14,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1964-11-18,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1965-09-01,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1965-11-13,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1966-08-24,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1966-09-14,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1966-09-21,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1966-11-26,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1966-11-28,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1967-01-07,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1967-08-23,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1967-09-13,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1967-12-09,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1968-01-06,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1968-01-27,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1968-02-17,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1968-02-21,4th Round Replay,4,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1968-03-09,5th Round,5,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1968-08-13,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1968-08-21,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1968-08-26,1st Round 2nd Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1968-08-28,1st Round 3rd Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1968-09-03,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1968-11-16,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1969-08-13,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1969-09-03,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1969-09-23,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1969-11-15,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1969-12-06,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1969-12-08,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1970-01-03,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1970-01-24,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1970-01-27,4th Round Replay,4,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1970-08-18,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1970-08-24,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1970-09-09,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1970-09-22,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1970-11-21,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1970-11-24,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1970-11-30,1st Round 2nd Replay,1,,,,,,,,,,,,,,,120,,0,0,0,1,1,0,0,0
1971-08-18,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1971-08-25,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1971-09-08,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1971-11-20,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1971-12-11,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1971-12-15,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1972-01-15,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1972-01-17,3rd Round Replay,3,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1972-02-05,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1972-02-09,4th Round Replay,4,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1972-08-16,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1972-11-18,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1972-12-09,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1973-08-29,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1973-09-05,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1973-10-02,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1973-10-31,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1973-11-13,3rd Round Replay,3,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1973-11-24,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1973-12-15,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1974-08-21,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1974-09-11,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1974-09-18,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1974-11-23,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1974-12-14,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1974-12-16,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1975-01-04,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1975-08-20,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1975-08-26,1st Round 2nd Leg,1,,2.0,replay,D,D,3-3,3.0,3.0,,,,,,,90,Game replayed,0,0,1,0,0,0,0,0
1975-09-02,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1975-11-22,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1976-08-14,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1976-08-18,1st Round 2nd Leg,1,,2.0,agg,W,W,4-3,4.0,3.0,,,,,,,90,Won 4-3 on agg,0,0,1,0,0,0,0,0
1976-09-01,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1976-11-20,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1977-08-13,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1977-08-16,1st Round 2nd Leg,1,,2.0,agg,L,L,2-3,2.0,3.0,,,,,,,90,Lost 3-2 on agg,0,0,1,0,0,0,0,0
1977-11-26,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1977-11-29,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1978-08-12,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1978-08-16,1st Round 2nd Leg,1,,2.0,agg,L,L,2-3,2.0,3.0,,,,,,,90,Lost 3-2 on agg,0,0,1,0,0,0,0,0
1978-11-25,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1978-12-16,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1978-12-19,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1979-08-11,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1979-08-15,1st Round 2nd Leg,1,,2.0,agg,W,W,3-1,3.0,1.0,,,,,,,90,Won 3-1 on agg,0,0,1,0,0,0,0,0
1979-08-29,2nd Round 1st Leg,2,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1979-09-04,2nd Round 2nd Leg,2,,2.0,agg,L,L,0-4,0.0,4.0,,,,,,,90,Lost 4-0 on agg,0,0,1,0,0,0,0,0
1979-11-24,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1979-12-15,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1979-12-18,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1980-08-09,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1980-08-12,1st Round 2nd Leg,1,,2.0,away_goals,W,D,3-3,3.0,3.0,,W,,,,,120,Won on away goals rule,0,0,1,0,1,0,0,0
1980-08-26,2nd Round 1st Leg,2,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1980-09-03,2nd Round 2nd Leg,2,,2.0,agg,L,L,3-7,3.0,7.0,,,,,,,90,Lost 3-7 on agg,0,0,1,0,0,0,0,0
1980-11-22,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1980-11-25,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1980-12-13,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1981-09-01,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1981-09-15,1st Round 2nd Leg,1,,2.0,agg,W,W,7-5,7.0,5.0,,,,,,,90,Won 7-5 on agg,0,0,1,0,0,0,0,0
1981-10-05,2nd Round 1st Leg,2,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1981-10-28,2nd Round 2nd Leg,2,,2.0,agg,W,W,4-1,4.0,1.0,,,,,,,90,Won 4-1 on agg,0,0,1,0,0,0,0,0
1981-11-10,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1981-11-21,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1981-11-24,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1981-12-02,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
